23?,School/Institute,Location,Start date,End date,Application deadline,Topic(s),Link,Date added to this list
,Berlin Mathematical School,"Berlin, Germany",May 24,Jun 3,Feb 15,"Geometry and topology in a discrete setting
Advanced undergraduates may apply; very limited funding available",https://www.math-berlin.de/academics/summer-schools,Jan 25
,Brown University,"Providence, RI",Jun 6,Jul 29,Feb 13,"data science; sample areas include applications in social justice, analysis of biological single cell and fluorescence data, Koopman theory, optimal transport, parameter identification, and toplogocal data analysis of spatio-temporal patterns.","http://www.bjornsandstede.com/undergraduate-research.html
https://www.mathprograms.org/db/programs/1213",Dec 19
,Clarkson University/SUNY Potsdam,"Potsdam, NY",May 23,Jul 15,Mar 27,"Links in embedded graphs; Numerical solutions to high-dimentional stochastic differential equations; Using comorbidities, demographic, and socioeconomic data to predict onset of rheumatoid arthritis; Hybrid inpainting method","https://www.potsdam.edu/academics/AAS/depts/math/summer-reu-program-award-pending
https://www.mathprograms.org/db/programs/1271",Feb 14
,Clemson University (pREU),"Clemson, SC",May 23,Jun 24,Feb 15,"explore concepts from linear algebra and abstract algebra (especially finite fields) as well as selected topics from algebraic geometry in the context of problems in coding theory, data storage, or cryptography","https://www.math.clemson.edu/ccnt/undergraduate/preu/
https://www.mathprograms.org/db/programs/1211",Dec 14
,Columbus State University,"Columbus, GA",May 25,Jul 28,Mar 12,"problems and issues related to security, privacy, authentication, data integrity, and malware for Mobile Sensing and the Internet of Things",https://www.reucsu.org/,Nov 21
,Fresno State,"Fresno, CA",Jun 6,Jul 30,Mar 1,"machine learning to study genomic variations in populations; operators on polynomial spaces to understand multiplier sequences
(Contingent on funding)",https://sites.google.com/mail.fresnostate.edu/fresnostatemathreu/home,Jan 22
,IRES in Uzbekistan,"Virtual (5/23-6/3)
Uzbekistan (6/6-7/15)",May 23,Jul 15,Apr 4,"students will join research groups at research institutes of the Uzbekistan Academy of Sciences as well as Urgench State University for 8 weeks during summer, and will engage in research, in collaboration with their Uzbek peers and mentors, in Biology, Chemistry, Mathematics and Physics",http://www.fullerton.edu/ires-uz/ires/,Feb 13
Y,Kansas State University (SUMaR),"Manhattan, KS",Jun 13,Aug 5,"rolling starting
mid-March","projects in knot theory or related, in PDEs, number theory with possible ramifications into analysis and geometry, and in number theory",REU,Nov 6
Y,Louisiana State University,"Baton Rouge, LA",May 23,Jul 30,Feb 28,Interdisciplinary Research Experience in Computational Sciences,https://reu.cct.lsu.edu/,Jan 7
,Middle Tennessee State University,"Murfreesboro, TN",Jun 6,Jul 29,Feb 15,Computational Modeling and Simulation in Applied Sciences,https://www.cs.mtsu.edu/~coms-reu/,Nov 14
,North Carolina State University,"Raliegh, NC",May 23,Jul 29,Feb 15,Socially-Relevant Computing and Analytics,https://sites.google.com/ncsu.edu/srca-reu/,Jan 28
,Rose-Hulman Institute of Technology,"Terra Haute, IN",Jun 6,Jul 29,Mar 1,Ehrhart theory and mathematical economics,"https://www.rose-hulman.edu/mathREU/
https://www.mathprograms.org/db/programs/1251",Nov 28
,RUSIS@IU,"Bloomington, IN",May 24,Jul 29,Mar 29,"Research for Undergraduates Summer Institute of Statistics (RUSIS)
Projects will be selected from areas including, but not limited to, extreme value theory, multiple comparisons, multivariate surivavl analysis, and other biomedical and statistical problems","(flyer) https://drive.google.com/file/d/1-EAU_ej381FKszAmjEpA70PWTl5RPvFk/view?usp=sharing
(information) https://drive.google.com/file/d/1-8EDfBhSuJGIvpJ9E82e5BKsp0MICATJ/view?usp=sharing
(applicatoin) https://drive.google.com/file/d/1-Bnb8cD5VqSqzyqA9VGK90XKJKtv_Fb0/view?usp=sharing",Feb 14
,Salisbury University,"Salisbury, MD",Jun 6,Aug 12,Mar 4,Aimed at future math teachers,https://www.salisbury.edu/administration/academic-affairs/graduate-studies-and-research/ourca/research-funding/pathways/,Jan 7
,Southern Methodist University,"Dallas, TX",Jun 20,Jul 29,Mar 20,Modeling transport processes in micro- and nanoscale systems => Data science workshop => Replays and ripples in the hippopcampus,https://www.smu.edu/Dedman/Academics/Departments/Math/Research/SMU-RTG/2022-Summer-Program,Mar 4
,UC Santa Barbara,"Santa Barbara, CA",Jun 20,Aug 12,Feb 15,Linear preservers of Lorentz spectrum; Recovering knot polynomials from graphs; Geometric group theory,"https://www.mathprograms.org/db/programs/1230
http://web.math.ucsb.edu/REU/",Jan 12
,University of Alabama,"Tuscaloosa, AL",Jun 6,Jul 18,Mar 14,"Knots, 3-manifolds and 4-manifolds","https://btosun.people.ua.edu/reu-2022-topology-at-ua.html
https://www.mathprograms.org/db/programs/1280",Feb 24
,University of Arizona,"Tucson, AZ",~ Jun 10,~ Aug 5,"Feb 1 (UROC)
Feb 28 (NSF)",data driven modeling techniques and applications,https://www.math.arizona.edu/~klin/rtg-seminar/reu.php,Jan 7
,University of Houston,"Houston, TX",June 6,Aug 12,Mar 1,Data-driven computing,http://project.cs.uh.edu/reu/,Jan 7
,"University of Massachusetts, Dartmouth","Dartmouth, MA",Jun 6,Aug 14,Mar 13,"secure, robust, and resilient AI-enabled system engineering; topics related to machine learning and data science",http://www.cis.umassd.edu/~mshao/umd-reu-website/index.html,Feb 10
,University of Minnesota,"Minneapolis, MN",Jun 16,Jul 27,Feb 7,"Dynamical Systems and Pattern Formation, with a focus on tipping points in opinion dynamics and in ecology.","http://www-users.math.umn.edu/~scheel/reu/reu-opportunities.html
https://www.mathprograms.org/db/programs/1220",Dec 22
,University of Puerto Rico at Ponce,"Ponce, Puerto Rico",,,,"Combinatorics and coding theory
** Will run pending funding from the NSF",https://www.etsu.edu/cas/math/activities/reu.php,Nov 28
,University of Tennessee Chattanooga,"Chattanooga, TN",Jun 6,Jul 31,Mar 7,"Possible topics include the zeta function, prime numbers, Gaussian analytic functions, random polynomials, differential operators, biological modeling using differential equations and optimal control simulation","https://sites.google.com/mocs.utc.edu/nsfutcreusite/home
https://www.mathprograms.org/db/programs/1236",Jan 17
,University of Virginia,"Charlotttesville, VA",May 30,Aug 5,Mar 15,"Systems bioengineering, systems biology, computational biology, biomedical data science, life sciences modeling",https://engineering.virginia.edu/systems-bioengineering-reu/about,Feb 10
,"University of Washington, Tacoma","Tacoma, WA",Jun 19,Aug 13,Feb 21,Spatial Models and Electoral Districting,https://www.tacoma.uw.edu/smed,Jan 26
,UW La Crosse,"La Crosse, WI",Jun 6,Aug 12,Feb 15,​​Drivers of local and regional water quality dynamics; Eco-hydrology of UMR floodplain forests: characterizing biophysical interactions across scales,https://www.uwlax.edu/mathematics/activities/reu/#tab-projects,Dec 19
,Virtual REU on Statistics in TDA,(virtual),~ Jun 1,~ Jul 25,Feb 1,statistical approaches to topological data analysis,https://appliedtopology.org/virtual-reu-on-statistics-in-tda/,Jan 7
